model,store,product,horizon,mase,smape,rmse,rmsle
Chronos-Bolt-Small,S002,P0008,28,0.5818,29.2157,36.1149,0.493
Chronos-Bolt-Small,S002,P0009,28,0.6909,35.5807,42.0296,0.4683
Chronos-Bolt-Small,S002,P0010,28,0.63,28.0913,31.1342,0.3498
Chronos-Bolt-Small,S002,P0011,28,0.6845,45.8808,41.087,0.9755
Chronos-Bolt-Small,S002,P0012,28,0.8436,36.0028,45.056,0.4497
Chronos-Bolt-Small,S002,P0013,28,0.5518,31.2109,36.3634,0.3781
Chronos-Bolt-Small,S002,P0014,28,0.8783,43.7879,44.0456,0.5495
Chronos-Bolt-Small,S002,P0015,28,0.6609,38.9311,37.6714,0.9815
Chronos-Bolt-Small,S002,P0016,28,0.6238,31.9784,30.1022,0.3927
Chronos-Bolt-Small,S002,P0017,28,1.0216,56.4595,54.0859,0.662
Chronos-Bolt-Small,S002,P0018,28,0.577,24.789,22.3072,0.3346
Chronos-Bolt-Small,S002,P0019,28,0.4269,22.1993,25.1944,0.2859
Chronos-Bolt-Small,S002,P0020,28,0.7919,41.1465,30.6466,0.501
Chronos-Bolt-Small,S003,P0001,28,0.7151,35.8802,36.6343,0.4371
Chronos-Bolt-Small,S003,P0002,28,0.7598,45.3635,53.4985,1.0172
Chronos-Bolt-Small,S003,P0003,28,0.6965,25.2189,31.1657,0.2993
Chronos-Bolt-Small,S003,P0004,28,0.8962,42.0058,59.9897,0.6064
Chronos-Bolt-Small,S003,P0005,28,0.8619,47.5427,50.4278,0.5931
Chronos-Bolt-Small,S003,P0006,28,0.903,36.7682,39.8638,0.4306
Chronos-Bolt-Small,S003,P0007,28,0.7713,32.2875,56.8311,0.4272
Chronos-Bolt-Small,S003,P0008,28,0.6008,27.3731,32.4103,0.3334
Chronos-Bolt-Small,S003,P0009,28,0.771,29.3582,38.3384,0.3782
Chronos-Bolt-Small,S003,P0010,28,0.5852,23.8486,31.5959,0.3107
Chronos-Bolt-Small,S003,P0011,28,0.8562,39.5728,43.9702,0.4651
Chronos-Bolt-Small,S003,P0012,28,1.0104,45.2589,41.5044,0.9099
Chronos-Bolt-Small,S003,P0013,28,0.6363,37.2682,41.1692,0.9756
Chronos-Bolt-Small,S003,P0014,28,0.8364,35.519,53.197,0.4458
Chronos-Bolt-Small,S003,P0015,28,0.7515,38.8551,55.3315,0.5056
Chronos-Bolt-Small,S003,P0016,28,0.6022,28.5491,36.1,0.3462
Chronos-Bolt-Small,S003,P0017,28,0.9245,39.1364,38.3435,0.4846
Chronos-Bolt-Small,S003,P0018,28,0.8302,35.1155,35.2778,0.4696
Chronos-Bolt-Small,S003,P0019,28,0.5819,24.5558,28.347,0.3101
Chronos-Bolt-Small,S003,P0020,28,0.4832,25.0555,26.6371,0.3157
Chronos-Bolt-Small,S004,P0001,28,0.4822,23.1435,30.5943,0.2955
Chronos-Bolt-Small,S004,P0002,28,0.5424,33.9048,33.4651,0.5168
Chronos-Bolt-Small,S004,P0003,28,1.1117,42.7478,54.1568,0.5531
Chronos-Bolt-Small,S004,P0004,28,0.6913,38.4312,50.7004,0.9501
Chronos-Bolt-Small,S004,P0005,28,0.8302,35.7023,34.9088,0.4369
Chronos-Bolt-Small,S004,P0006,28,0.7495,35.29,48.3208,0.4422
Chronos-Bolt-Small,S004,P0007,28,0.9084,37.4726,59.6147,0.4495
Chronos-Bolt-Small,S004,P0008,28,0.7266,30.7269,25.0124,0.3752
Chronos-Bolt-Small,S004,P0009,28,0.5979,35.2383,35.3814,0.9531
Chronos-Bolt-Small,S004,P0010,28,0.7759,42.3685,47.0603,0.4872
Chronos-Bolt-Small,S004,P0011,28,0.5549,28.7372,30.4563,0.3464
Chronos-Bolt-Small,S004,P0012,28,1.1447,37.6277,47.249,0.4677
Chronos-Bolt-Small,S004,P0013,28,0.8505,49.8053,56.4503,0.7462
Chronos-Bolt-Small,S004,P0014,28,0.6346,30.3435,29.4024,0.3957
Chronos-Bolt-Small,S004,P0015,28,0.8263,44.2258,34.4894,0.5306
Chronos-Bolt-Small,S004,P0016,28,0.815,41.1707,31.5709,0.5522
Chronos-Bolt-Small,S004,P0017,28,0.6864,26.8256,34.2219,0.3497
Chronos-Bolt-Small,S004,P0018,28,0.6943,28.2843,25.8383,0.3554
Chronos-Bolt-Small,S004,P0019,28,0.6978,26.6927,34.7238,0.3275
Chronos-Bolt-Small,S004,P0020,28,0.8536,45.2882,36.3873,0.9053
Chronos-Bolt-Small,S005,P0001,28,0.5624,32.4635,37.5294,0.5305
Chronos-Bolt-Small,S005,P0002,28,0.8282,37.6506,43.2499,0.4738
Chronos-Bolt-Small,S005,P0003,28,0.7412,33.037,36.6689,0.417
Chronos-Bolt-Small,S005,P0004,28,0.6758,27.3097,37.5063,0.3644
Chronos-Bolt-Small,S005,P0005,28,0.8368,40.5639,50.1503,0.959
Chronos-Bolt-Small,S005,P0006,28,0.5333,24.8113,40.8317,0.3618
Chronos-Bolt-Small,S005,P0007,28,0.8288,37.9899,59.1749,0.6072
