model,store,product,horizon,mse,rmse,mae,mape,smape,mase,rmsle
Prophet,S004,P0012,14,1306.2299,36.1418,28.607,40.0039,35.1421,0.9135,0.437
Prophet,S004,P0013,14,2189.0811,46.7876,37.7243,119.249,39.8725,0.7192,0.6826
Prophet,S004,P0014,14,1164.3294,34.1223,25.9466,62.1421,41.3849,0.7654,0.5748
Prophet,S004,P0015,14,999.1367,31.6091,25.273,60.3096,42.5828,0.7737,0.561
Prophet,S004,P0016,14,1076.6646,32.8126,26.3205,7469974709.5971,43.8072,0.8103,0.7212
Prophet,S004,P0017,14,1199.5059,34.6339,27.0517,33.9812,29.4443,0.7175,0.3994
Prophet,S004,P0018,14,624.3858,24.9877,19.2769,51.0713,35.1391,0.7031,0.5052
Prophet,S004,P0019,14,1312.228,36.2247,28.6109,37.6992,29.7797,0.7593,0.4204
Prophet,S004,P0020,14,998.8843,31.6051,24.141,6921560306.4183,42.085,0.7684,0.7163
Prophet,S005,P0001,14,1869.2903,43.2353,34.5525,12063711789.1485,39.196,0.7009,0.7851
Prophet,S005,P0002,14,1716.8123,41.4344,33.2272,48.1669,39.0728,0.8135,0.4952
Prophet,S005,P0003,14,1413.2639,37.5934,30.0172,92.8555,43.6935,0.8161,0.6859
Prophet,S005,P0004,14,1692.1136,41.1353,33.0614,50.5333,34.598,0.8058,0.4905
Prophet,S005,P0005,14,1770.7675,42.0805,32.7173,23911578354.8468,36.5192,0.7045,0.841
Prophet,S005,P0006,14,2513.9906,50.1397,38.8492,14163081657.2004,37.948,0.7486,0.7149
Prophet,S005,P0007,14,2096.6147,45.7888,35.525,56.9078,36.4502,0.7226,0.5104
Prophet,S005,P0008,14,1138.7082,33.7448,27.6459,39.5628,30.4998,0.6676,0.4064
Prophet,S005,P0009,14,2097.3952,45.7973,36.9539,25439294380.9709,38.2975,0.7457,0.8465
Prophet,S005,P0010,14,2198.9534,46.893,37.8569,53.1972,37.721,0.716,0.5096
Prophet,S005,P0011,14,1930.2046,43.9341,34.7965,8677202137.8121,43.1067,0.8818,0.7672
Prophet,S005,P0012,14,1283.4714,35.8256,27.7545,51.7983,39.9919,0.8876,0.5283
Prophet,S005,P0013,14,2237.1754,47.2988,38.0227,59.6288,39.9378,0.7376,0.5491
Prophet,S005,P0014,14,1019.9423,31.9365,24.0542,7333718065.1016,38.5345,0.7535,0.6684
Prophet,S005,P0015,14,1941.7385,44.0652,36.3737,13179552779.3995,39.8448,0.7323,0.7305
Prophet,S005,P0016,14,1851.0673,43.024,35.43,10127563800.0584,49.7544,0.8163,0.8942
Prophet,S005,P0017,14,1642.4794,40.5275,31.6177,99.6142,46.0893,0.851,0.7373
Prophet,S005,P0018,14,1132.7615,33.6565,26.9837,33.2434,29.2163,0.6554,0.3613
Prophet,S005,P0019,14,1108.3817,33.2924,27.6288,66.3194,44.5518,0.8786,0.586
Prophet,S005,P0020,14,865.2804,29.4156,23.2463,66.8297,36.1227,0.6735,0.5787
Prophet,S001,P0001,28,1605.7766,40.0721,31.0472,46.6518,36.9134,0.8567,0.4847
Prophet,S001,P0002,28,1216.0783,34.8723,27.2866,39.1537,29.8026,0.677,0.425
Prophet,S001,P0003,28,2275.921,47.7066,37.9502,69.9634,35.1332,0.7134,0.5427
Prophet,S001,P0004,28,1352.1732,36.7719,30.4727,9687406011.4443,41.011,0.8254,0.7292
Prophet,S001,P0005,28,1627.388,40.3409,34.2935,42.5076,34.979,0.6845,0.4277
Prophet,S001,P0006,28,1930.7636,43.9405,32.0761,16846090247.2079,46.85,0.7254,0.9032
Prophet,S001,P0007,28,3061.4163,55.3301,45.6682,92.587,46.0736,0.87,0.6796
Prophet,S001,P0008,28,976.0826,31.2423,24.1691,41.4768,33.3225,0.7456,0.4423
Prophet,S001,P0009,28,2384.7322,48.8337,38.225,37.9709,34.5654,0.9027,0.4423
Prophet,S001,P0010,28,1020.5821,31.9466,25.1231,48.8401,37.1374,0.8032,0.4993
Prophet,S001,P0011,28,976.0527,31.2418,24.1667,52.721,38.0474,0.7518,0.509
Prophet,S001,P0012,28,1951.9225,44.1806,35.1083,61.8688,37.3797,0.7275,0.5607
Prophet,S001,P0013,28,1136.1626,33.707,28.1611,74.8769,43.2369,0.8094,0.6209
Prophet,S001,P0014,28,1770.7177,42.0799,34.1027,76.8282,36.7495,0.6817,0.5683
Prophet,S001,P0015,28,1128.817,33.5979,26.7589,72.0493,39.0059,0.7339,0.5975
Prophet,S001,P0016,28,1941.7348,44.0651,34.2499,12807078934.2576,37.3879,0.6136,0.7079
Prophet,S001,P0017,28,1158.9441,34.0433,26.9052,103.1378,43.3445,0.8027,0.7026
Prophet,S001,P0018,28,1410.5598,37.5574,30.8907,44.8887,33.1773,0.7386,0.4429
Prophet,S001,P0019,28,900.2473,30.0041,24.7566,67.343,42.1287,0.8652,0.5832
Prophet,S001,P0020,28,951.7845,30.851,25.2073,69.0806,43.1145,0.7484,0.6004
Prophet,S002,P0001,28,2650.0182,51.4783,41.1601,67.0586,42.0143,0.7772,0.5887
Prophet,S002,P0002,28,1704.9801,41.2914,34.4147,76.3024,45.4807,0.7929,0.6324
Prophet,S002,P0003,28,1781.3924,42.2065,35.4005,95.2646,40.7039,0.724,0.6319
Prophet,S002,P0004,28,1726.2681,41.5484,33.8919,44.1883,33.8391,0.6812,0.4443
Prophet,S002,P0005,28,1586.9461,39.8365,32.221,57.1082,39.0282,0.7954,0.533
Prophet,S002,P0006,28,1153.9395,33.9697,25.3134,36.9851,29.6287,0.7414,0.4159
Prophet,S002,P0007,28,1855.8645,43.0797,35.2837,103.2574,47.6061,0.8431,0.7259
Prophet,S002,P0008,28,1324.4783,36.3934,28.8001,46.1293,32.4283,0.7113,0.4532
Prophet,S002,P0009,28,1842.9918,42.9301,35.9091,50.7379,36.7771,0.7436,0.4825
Prophet,S002,P0010,28,1189.4817,34.4889,28.1734,31.5929,28.4702,0.6995,0.3489
Prophet,S002,P0011,28,2211.0725,47.022,37.2905,22617089779.7069,42.2542,0.7102,0.8712
Prophet,S002,P0012,28,1365.7603,36.9562,28.3796,48.0887,35.5536,0.7205,0.4901
Prophet,S002,P0013,28,2014.5293,44.8835,36.6379,139.9265,40.7355,0.6909,0.6992
Prophet,S002,P0014,28,1774.5975,42.126,33.5384,9517822139.4064,44.6647,0.8523,0.8252
Prophet,S002,P0015,28,1990.7124,44.6174,33.1339,21213697153.728,36.3646,0.7454,0.8208
Prophet,S002,P0016,28,1998.4191,44.7037,34.4552,10895564042.7681,37.6357,0.8144,0.6622
Prophet,S002,P0017,28,1754.9072,41.8916,33.2885,9667710849.6613,48.3879,0.7756,0.8424
Prophet,S002,P0018,28,906.3319,30.1053,23.6219,38.4054,29.8687,0.7569,0.4106
Prophet,S002,P0019,28,1500.6303,38.738,30.4544,12114626763.7303,33.6382,0.6837,0.6654
Prophet,S002,P0020,28,905.7,30.0949,24.1355,48.848,39.7213,0.7692,0.4881
Prophet,S003,P0001,28,1910.6015,43.7104,34.6474,18102736028.3172,49.7755,0.8385,0.9364
Prophet,S003,P0002,28,2140.1269,46.2615,37.1296,13418763733.5925,40.5455,0.7164,0.7393
Prophet,S003,P0003,28,1368.2559,36.9899,29.4939,53.4439,35.0451,0.8198,0.5185
Prophet,S003,P0004,28,2781.482,52.7398,40.8837,13671129229.7664,41.2982,0.8244,0.7752
Prophet,S003,P0005,28,1909.9403,43.7029,35.1642,10228765010.8941,47.6667,0.7981,0.8471
Prophet,S003,P0006,28,1329.5427,36.4629,30.6775,87.3791,42.2794,0.8436,0.6488
Prophet,S003,P0007,28,1947.4155,44.1295,32.6218,50.99,32.8938,0.6392,0.5019
Prophet,S003,P0008,28,1510.1007,38.86,30.8695,32.0855,30.8334,0.7327,0.3678
Prophet,S003,P0009,28,1575.2831,39.6898,31.4123,45.1485,34.9433,0.8234,0.4652
Prophet,S003,P0010,28,1220.0121,34.9287,27.4521,67.1669,30.8681,0.6762,0.5102
Prophet,S003,P0011,28,1837.8215,42.8698,35.5812,32186267696.7722,44.0914,0.8197,0.976
Prophet,S003,P0012,28,1093.1532,33.0629,26.146,7555765341.0152,41.0676,0.8222,0.6726
Prophet,S003,P0013,28,1954.6446,44.2114,34.0638,26583988190.1879,38.617,0.6764,0.9025
Prophet,S003,P0014,28,2115.8362,45.9982,38.2008,43.4672,35.4865,0.7913,0.4509
Prophet,S003,P0015,28,2089.1956,45.7077,36.4348,13832143169.0599,39.6183,0.6657,0.8331
Prophet,S003,P0016,28,1905.7607,43.655,33.4779,47.96,36.3739,0.7192,0.4965
Prophet,S003,P0017,28,1037.6037,32.2119,25.3927,8065488786.5192,42.4355,0.8274,0.749
Prophet,S003,P0018,28,970.9616,31.1603,25.5916,58.4308,40.5445,0.8268,0.5375
Prophet,S003,P0019,28,917.5766,30.2915,23.7804,35.6948,26.1619,0.6072,0.3808
Prophet,S003,P0020,28,2485.8492,49.8583,35.1185,30.3284,32.5968,0.7863,0.4173
Prophet,S004,P0001,28,2311.4375,48.0774,36.3812,13681357087.0805,39.2448,0.7372,0.8353
Prophet,S004,P0002,28,1987.9706,44.5867,35.1143,11587239220.9078,42.3151,0.6892,0.7978
Prophet,S004,P0003,28,1727.3776,41.5617,31.2006,74.75,44.4526,0.8935,0.6308
Prophet,S004,P0004,28,2459.9213,49.5976,39.8644,13233561335.156,39.5037,0.7419,0.7707
Prophet,S004,P0005,28,1200.0383,34.6416,27.9687,37.8237,32.5663,0.7999,0.4112
Prophet,S004,P0006,28,1542.0303,39.2687,32.2948,51.2961,35.7154,0.6415,0.4886
Prophet,S004,P0007,28,2742.2872,52.3669,41.8534,68.105,40.8807,0.7923,0.5896
Prophet,S004,P0008,28,752.5015,27.4318,23.1506,58.4857,39.3338,0.8486,0.5278
Prophet,S004,P0009,28,1711.2998,41.3679,31.4199,20848238723.3662,36.2376,0.7229,0.8103
Prophet,S004,P0010,28,2329.5314,48.2652,40.9021,114.501,41.1578,0.7529,0.6297
Prophet,S004,P0011,28,2820.5506,53.1089,37.4646,45.8493,35.7596,0.8069,0.5076
Prophet,S004,P0012,28,1325.9257,36.4133,28.7833,40.216,35.3519,0.9195,0.4403
